"Source:"	"C:\Users\adm\Documents\BLITZUINO\SIMULATEUR 2x6\SIMULATEUR 2x6\SIMULATEUR 2x6.sch"
"Date:"	"19/01/2023 22:33:09"
"Tool:"	"Eeschema (5.1.10)-1"
"Component Count:"	"73"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"R18"	"470R"	"Device:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"	"Resistor"	""
"R19"	"470R"	"Device:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"	"Resistor"	""
"R20"	"100R"	"Device:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"	"Resistor"	""
"RV1"	"R_POT 10k"	"Device:R_POT"	"Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical"	"Potentiometer"	""
"RV2"	"R_POT 10k"	"Device:R_POT"	"Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical"	"Potentiometer"	""
"RV3"	"R_POT 10k"	"Device:R_POT"	"Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical"	"Potentiometer"	""
"RV4"	"R_POT 10k"	"Device:R_POT"	"Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical"	"Potentiometer"	""
"RV5"	"R_POT 10k"	"Device:R_POT"	"Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical"	"Potentiometer"	""
"RV6"	"R_POT 10k"	"Device:R_POT"	"Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical"	"Potentiometer"	""
"U1"	"MEGA_PRO_EMBED_CH340G___ATMEGA2560"	"ARDUINO_MEGA_PRO:MEGA_PRO_EMBED_CH340G___ATMEGA2560"	"MODULE_MEGA_PRO_EMBED_CH340G_/_ATMEGA2560"	""	""
